NULL,,"--- Damızlık olanlar",
NULL,"0106.00.90.91.11","---- Arılar (kovan halinde)","Kg"
NULL,"0106.00.90.91.19","---- Diğerleri","Kg"
NULL,,"--- Diğerleri",
NULL,"0106.00.90.99.11","---- Sülükler","Kg"
NULL,"0106.00.90.99.12","---- Arılar (kovan halinde)","Kg"
NULL,"0106.00.90.99.13","---- Kurbağalar","Kg"
NULL,"0106.00.90.99.19","---- Diğerleri","Kg"
NULL,"0201","Sığır eti (taze veya soğutulmuş):",
NULL,"0201.10.00.00.00","- Karkas ve yarım karkas","Kg"
NULL,"0201.20","- Diğer kemikli parçalar:",
NULL,"0201.20.20.00.00","-- Çeyrek karkas (eşit olarak bölünmüş)","Kg"
NULL,"0201.20.30.00.00","-- Karkasın ön çeyrekleri (ayrılmamış veya ayrılmış)","Kg"
NULL,"0201.20.50.00.00","-- Karkasın arka çeyrekleri (ayrılmamış veya ayrılmış)","Kg"
NULL,"0201.20.90.00.00","-- Diğerleri","Kg"
NULL,"0201.30.00.00.00","- Kemiksiz","Kg"
NULL,"0202","Sığır eti (dondurulmuş):",
NULL,"0202.10.00.00.00","- Karkas ve yarım karkas","Kg"
NULL,"0202.20","- Diğer kemikli parçalar:",
NULL,"0202.20.10.00.00","-- Çeyrek karkas (eşit olarak bölünmüş)","Kg"
NULL,"0202.20.30.00.00","-- Karkasın ön çeyrekleri (ayrılmamış veya ayrılmış)","Kg"
NULL,"0202.20.50.00.00","-- Karkasın arka çeyrekleri (ayrılmamış veya ayrılmış)","Kg"
NULL,"0202.20.90.00.00","-- Diğerleri","Kg"
NULL,"0202.30","- Kemiksiz:",
NULL,"0202.30.10.00.00","-- Karkasın ön çeyrekleri (bütün veya en fazla beş parçaya bölünmüş,","Kg"
NULL,,"her çeyrek karkas dondurulmuş tek bir blok halinde);iki blok",
NULL,,"halinde dondurulmuş,eşit olarak bölünmüş çeyrek parçalar [bu",
NULL,,"bloklardan biri tam veya en fazla beş parçaya bölünmüş ön çeyrek",
NULL,,"parçadan,diğeri tek parça halinde arka çeyrek parçadan (fileto",
NULL,,"hariç) oluşmalıdır.]",
NULL,"0202.30.50.00.00","-- Karkasın ön çeyreklerinin döş ve kaburga etleri","Kg"
NULL,"0202.30.90.00.00","-- Diğerleri","Kg"
NULL,"0203","Domuz eti (taze,soğutulmuş veya dondurulmuş):",
NULL,,"- Taze veya soğutulmuş:",
NULL,"0203.11","-- Karkas veya yarım karkas:",
NULL,"0203.11.10.00.00","--- Evcil domuz eti","Kg"
NULL,"0203.11.90.00.00","--- Diğerleri","Kg"
NULL,"0203.12","-- But,kol ve bunların parçaları (kemikli):",
NULL,,"--- Evcil domuz eti:",
NULL,"0203.12.11.00.00","---- But ve but parçaları","Kg"
NULL,"0203.12.19.00.00","---- Kol ve kol parçaları","Kg"
NULL,"0203.12.90.00.00","--- Diğerleri","Kg"
NULL,"0203.19","-- Diğerleri:",
NULL,,"--- Evcil domuz eti:",
NULL,"0203.19.11.00.00","---- Ön kısım ve bunların parçaları","Kg"
NULL,"0203.19.13.00.00","---- Bel kısmı ve bunların parçaları","Kg"
NULL,"0203.19.15.00.00","---- Karın ve karın parçaları","Kg"
NULL,,"---- Diğerleri:",
NULL,"0203.19.55.00.00","----- Kemiksiz","Kg"
NULL,"0203.19.59.00.00","----- Diğerleri","Kg"
NULL,"0203.19.90.00.00","--- Diğerleri","Kg"
